"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1",1,"AFG","Afghanistan","Badakhshan","Fayzabad","Fayzabad, Afghanistan",37.1017088,70.5552362,"AFG1",30315411.9257812
"2",2,"AFG","Afghanistan","Badakhshan","Mazar","Mazar, Afghanistan",36.6926167,67.1179511,"AFG2",141472449.015625
"3",3,"AFG","Afghanistan","Bamyan","Bamyan","Bamyan, Afghanistan",34.8100067,67.8212104,"AFG3",14195777.2929688
"4",4,"AFG","Afghanistan","Daykundi","Nili","Nili, Afghanistan",33.7148979,66.1653224,"AFG4",15981924.6425781
"5",5,"AFG","Afghanistan","Faryab","Maymana","Maymana, Afghanistan",35.91784,64.7755147,"AFG5",44838098.0078125
"6",6,"AFG","Afghanistan","Ghor","Ghor","Ghor, Afghanistan",34.0995776,64.905955,"AFG6",2745547.59570312
"7",7,"AFG","Afghanistan","Hirat","Hirat","Hirat, Afghanistan",34.352865,62.2040287,"AFG7",133657862.09375
"8",8,"AFG","Afghanistan","Kabul","Kabul","Kabul, Afghanistan",34.5553494,69.207486,"AFG8",923792592.5
"9",9,"AFG","Afghanistan","Kandahar","Kandahar","Kandahar, Afghanistan",31.628871,65.7371749,"AFG9",107406728.984375
"10",10,"AFG","Afghanistan","Nangarhar","Jalalabad","Jalalabad, Afghanistan",34.4283529,70.4578019,"AFG10",150209939.59375
"11",11,"AFG","Afghanistan","Paktya","Gardez","Gardez, Afghanistan",33.6042793,69.2281531,"AFG11",35101055.1992188
"12",12,"DZA","Algeria","Alger","Algiers","Algiers, Algeria",36.753768,3.0587561,"DZA12",2689278.5
"13",13,"DZA","Algeria","Tindouf","Auserd","Auserd, Algeria",27.6311276,-7.8743128,"DZA13",653.257446289062
"14",14,"DZA","Algeria","Tindouf","Boujdour","Boujdour, Algeria",27.5162359,-8.0093993,"DZA14",653.271850585938
"15",15,"DZA","Algeria","Tindouf","Dakhla","Dakhla, Algeria",34.9967708,-1.8583564,"DZA15",210333
"16",16,"DZA","Algeria","Tindouf","Layoun","Layoun, Algeria",35.6964276,1.9976315,"DZA16",118677.84375
"17",17,"DZA","Algeria","Tindouf","Samara","Samara, Algeria",26.741856,-11.6783671,"DZA17",52136.84765625
