"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1809",1809,"SYR","Syrian Arab Republic","Raqqa","Tell Abiad","Tell Abiad, Syrian Arab Republic",36.6919385,38.9511518,"SYR1809",NA
"1810",1810,"SYR","Syrian Arab Republic","Tartous","Banias","Banias, Syrian Arab Republic",35.1852624,35.9533322,"SYR1810",NA
"1811",1811,"SYR","Syrian Arab Republic","Tartous","Mashta Elhiu","Mashta Elhiu, Syrian Arab Republic",34.8780981,36.2549491,"SYR1811",NA
"1812",1812,"SYR","Syrian Arab Republic","Tartous","Safita","Safita, Syrian Arab Republic",34.8190348,36.1192307,"SYR1812",NA
"1813",1813,"SYR","Syrian Arab Republic","Tartous","Tartous","Tartous, Syrian Arab Republic",34.8959276,35.8866517,"SYR1813",NA
"1814",1814,"TJK","Tajikistan","","Bokhtar city","Bokhtar city, Tajikistan",37.8456119,68.7989617,"TJK1814",55836614.453125
"1815",1815,"TJK","Tajikistan","","Dushanbe","Dushanbe, Tajikistan",38.5597722,68.7870384,"TJK1815",110320882.03125
"1816",1816,"TJK","Tajikistan","","Gharm","Gharm, Tajikistan",39.0214751,70.3673152,"TJK1816",3789183.91113281
"1817",1817,"TJK","Tajikistan","","Khatlon","Khatlon, Tajikistan",37.9113562,69.097023,"TJK1817",24732198.046875
"1818",1818,"TJK","Tajikistan","","Khorog","Khorog, Tajikistan",37.4882943,71.5901986,"TJK1818",4940555.46875
"1819",1819,"TJK","Tajikistan","","Khujand","Khujand, Tajikistan",40.2735091,69.6392354,"TJK1819",53174760.546875
"1820",1820,"TJK","Tajikistan","","National Average","National Average, Tajikistan",40.706877,-74.0112654,"TJK1820",1174261000
"1821",1821,"TJK","Tajikistan","","Sughd","Sughd, Tajikistan",39.5155326,69.097023,"TJK1821",8519479.05273438
"1822",1822,"THA","Thailand","Bangkok","Bangkok","Bangkok, Thailand",13.7563309,100.5017651,"THA1822",27920283699
"1823",1823,"TLS","Timor-Leste","Baucau","Baucau","Baucau, Timor-Leste",-8.4731006,126.4553727,"TLS1823",5189651.796875
"1824",1824,"TLS","Timor-Leste","Baucau","Laga","Laga, Timor-Leste",-8.488863,126.572403,"TLS1824",6203956.28125
"1825",1825,"TLS","Timor-Leste","Baucau","Venilale","Venilale, Timor-Leste",-8.6417702,126.3795987,"TLS1825",5402868.3515625
"1826",1826,"TLS","Timor-Leste","Bobonaro","Balibo","Balibo, Timor-Leste",-8.9674605,125.0470761,"TLS1826",7495083.4765625
"1827",1827,"TLS","Timor-Leste","Bobonaro","Cailaco","Cailaco, Timor-Leste",-8.9,125.283333,"TLS1827",9886468.921875
